Updated On,State,RT PCR Tests,Antigen Tests,Other Tests,Total Tested,Tag (Total Tested),Positive,Negative,Unconfirmed,Cumulative People In Quarantine,Total People Currently in Quarantine,Tag (People in Quarantine),Total People Released From Quarantine,People in ICU,People on Ventilators,Num Isolation Beds,Num ICU Beds,Num Ventilators,Total PPE,Total N95 Masks,Corona Enquiry Calls,Num Calls State Helpline,Source1,Source2,Source3,Test positivity rate,Tests per thousand,Tests per million,Tests per positive case,Population NCP 2019 Projection,
24/05/2020,Andaman and Nicobar Islands,,,,7327,Samples Sent,33,,0,,0,Institutional,1215,,,98,,,,,,481,https://dhs.andaman.gov.in/NewEvents/267.pdf,,,0.45%,18.46,18456,222,397000,
25/05/2020,Andaman and Nicobar Islands,,,,7363,Samples Sent,33,,34,,0,,,,,98,,,,,,9762,https://dhs.andaman.gov.in/NewEvents/269.pdf,,,0.45%,18.55,18547,223,397000,
26/05/2020,Andaman and Nicobar Islands,,,,7448,Samples Sent,33,,84,,0,,,,,98,,,,,,9803,https://dhs.andaman.gov.in/NewEvents/270.pdf,,,0.44%,18.76,18761,226,397000,
27/05/2020,Andaman and Nicobar Islands,,,,7499,Samples Sent,33,,51,,0,,,,,98,,,,,,9843,https://dhs.andaman.gov.in/NewEvents/271.pdf,,,0.44%,18.89,18889,227,397000,
28/05/2020,Andaman and Nicobar Islands,,,,7519,Samples Sent,33,,19,,0,,,,,98,,,,,,9893,https://dhs.andaman.gov.in/NewEvents/272.pdf,,,0.44%,18.94,18940,228,397000,
29/05/2020,Andaman and Nicobar Islands,,,,7567,Samples Sent,33,,48,,0,,,,,98,,,,,,9925,https://dhs.andaman.gov.in/NewEvents/273.pdf,,,0.44%,19.06,19060,229,397000,
30/05/2020,Andaman and Nicobar Islands,,,,7567,Samples Sent,33,,129,,0,,,,,98,,,,,,9962,https://dhs.andaman.gov.in/NewEvents/274.pdf,,,0.44%,19.06,19060,229,397000,
31/05/2020,Andaman and Nicobar Islands,,,,7706,Samples Sent,33,,0,,0,,,,,109,,,,,,9984,https://dhs.andaman.gov.in/NewEvents/275.pdf,,,0.43%,19.41,19411,234,397000,
01/06/2020,Andaman and Nicobar Islands,,,,7805,Samples Sent,33,,99,,0,,,,,109,,,,,,10015,https://dhs.andaman.gov.in/NewEvents/276.pdf,,,0.42%,19.66,19660,237,397000,
02/06/2020,Andaman and Nicobar Islands,,,,8086,Samples Sent,33,,274,,0,,,,,109,,,,,,10037,https://dhs.andaman.gov.in/NewEvents/277.pdf,,,0.41%,20.37,20368,245,397000,
03/06/2020,Andaman and Nicobar Islands,,,,8295,Samples Sent,33,,208,,0,,,,,109,,,,,,10056,https://dhs.andaman.gov.in/NewEvents/278.pdf,,,0.40%,20.89,20894,251,397000,
04/06/2020,Andaman and Nicobar Islands,,,,8413,Samples Sent,33,,118,,0,,,,,109,,,,,,10088,https://dhs.andaman.gov.in/NewEvents/280.pdf,,,0.39%,21.19,21191,255,397000,
05/06/2020,Andaman and Nicobar Islands,,,,8694,Samples Sent,33,,281,,0,,,,,109,,,,,,10105,https://dhs.andaman.gov.in/NewEvents/281.pdf,,,0.38%,21.90,21899,263,397000,
06/06/2020,Andaman and Nicobar Islands,,,,9037,Samples Sent,33,,343,,0,,,,,109,,,,,,10138,https://dhs.andaman.gov.in/NewEvents/282.pdf,,,0.37%,22.76,22763,274,397000,
07/06/2020,Andaman and Nicobar Islands,,,,9242,Samples Sent,33,,404,,0,,,,,109,,,,,,10153,https://dhs.andaman.gov.in/NewEvents/283.pdf,,,0.36%,23.28,23280,280,397000,
08/06/2020,Andaman and Nicobar Islands,,,,9341,Samples Sent,33,,279,,0,,,,,109,,,,,,10169,https://t.me/indiacovid/6803?single,,,0.35%,23.53,23529,283,397000,
09/06/2020,Andaman and Nicobar Islands,,,,9859,Samples Sent,33,,531,,0,,,,,109,,,,,,10190,https://dhs.andaman.gov.in/NewEvents/290.pdf,,,0.33%,24.83,24834,299,397000,
10/06/2020,Andaman and Nicobar Islands,,,,10010,Samples Sent,35,,382,,,,,,,109,,,,,,10214,https://dhs.andaman.gov.in/NewEvents/291.pdf,,,0.35%,25.21,25214,286,397000,
11/06/2020,Andaman and Nicobar Islands,,,,10226,Samples Sent,38,,294,,,,,,,109,,,,,,10249,https://dhs.andaman.gov.in/NewEvents/292.pdf,,,0.37%,25.76,25758,269,397000,
12/06/2020,Andaman and Nicobar Islands,,,,10697,Samples Sent,38,,556,,,,,,,109,,,,,,10267,https://dhs.andaman.gov.in/NewEvents/293.pdf,,,0.36%,26.94,26945,282,397000,
13/06/2020,Andaman and Nicobar Islands,,,,10955,Samples Sent,38,,814,,,,,,,109,,,,,,10306,https://dhs.andaman.gov.in/NewEvents/294.pdf,,,0.35%,27.59,27594,288,397000,
14/06/2020,Andaman and Nicobar Islands,,,,11356,Samples Sent,38,,1040,,1,Institutional,,,,109,,,,,,10329,https://dhs.andaman.gov.in/NewEvents/295.pdf,,,0.33%,28.60,28605,299,397000,
15/06/2020,Andaman and Nicobar Islands,,,,11518,Samples Sent,41,,579,,4,Institutional,,,,109,,,,,,10361,https://dhs.andaman.gov.in/NewEvents/296.pdf,,,0.36%,29.01,29013,281,397000,
16/06/2020,Andaman and Nicobar Islands,,,,11809,Samples Sent,44,,719,,4,Institutional,,,,109,,,,,,10405,https://dhs.andaman.gov.in/NewEvents/297.pdf,,,0.37%,29.75,29746,268,397000,
17/06/2020,Andaman and Nicobar Islands,,,,12239,Samples Sent,44,,383,,4,Institutional,,,,109,,,,,,10430,https://dhs.andaman.gov.in/NewEvents/298.pdf,,,0.36%,30.83,30829,278,397000,
18/06/2020,Andaman and Nicobar Islands,,,,12622,Samples Sent,45,,350,,4,Institutional,,,,184,,,,,,10460,https://dhs.andaman.gov.in/NewEvents/299.pdf,,,0.36%,31.79,31793,280,397000,
19/06/2020,Andaman and Nicobar Islands,,,,12930,Samples Sent,47,,306,,4,Institutional,,,,184,,,,,,10491,https://dhs.andaman.gov.in/NewEvents/300.pdf,,,0.36%,32.57,32569,275,397000,
20/06/2020,Andaman and Nicobar Islands,,,,13320,Samples Sent,47,,372,,4,Institutional,,,,,,,,,,,https://dhs.andaman.gov.in/NewEvents/301.pdf,,,0.35%,33.55,33552,283,397000,
21/06/2020,Andaman and Nicobar Islands,,,,13434,Samples Sent,48,,437,,4,Institutional,,,,,,,,,,,https://dhs.andaman.gov.in/NewEvents/302.pdf,,,0.36%,33.84,33839,280,397000,
22/06/2020,Andaman and Nicobar Islands,,,,13511,Samples Sent,48,,71,,3,Institutional,,,,,,,,,,,https://dhs.andaman.gov.in/NewEvents/303.pdf,,,0.36%,34.03,34033,281,397000,
23/06/2020,Andaman and Nicobar Islands,,,,13723,Samples Sent,50,,188,,3,Institutional,,,,,,,,,,,https://dhs.andaman.gov.in/NewEvents/304.pdf,,,0.36%,34.57,34567,274,397000,
24/06/2020,Andaman and Nicobar Islands,,,,13994,Samples Sent,56,,265,,3,Institutional,,,,,,,,,,,https://dhs.andaman.gov.in/NewEvents/305.pdf,,,0.40%,35.25,35249,250,397000,
25/06/2020,Andaman and Nicobar Islands,,,,14277,Samples Sent,59,,223,,6,Institutional,,,,,,,,,,,https://dhs.andaman.gov.in/NewEvents/306.pdf,,,0.41%,35.96,35962,242,397000,
26/06/2020,Andaman and Nicobar Islands,,,,14583,Samples Sent,72,,224,,8,Institutional,,,,,,,,,,,https://dhs.andaman.gov.in/NewEvents/308.pdf,https://dhs.andaman.gov.in/,,0.49%,36.73,36733,203,397000,
27/06/2020,Andaman and Nicobar Islands,,,,14851,Samples Sent,73,,217,,8,Institutional,,,,,,,,,,,https://dhs.andaman.gov.in/NewEvents/309.pdf,,,0.49%,37.41,37408,203,397000,
28/06/2020,Andaman and Nicobar Islands,,,,15094,Samples Sent,83,,243,,8,Institutional,,,,,,,,,,,https://dhs.andaman.gov.in/NewEvents/310.pdf,,,0.55%,38.02,38020,182,397000,
29/06/2020,Andaman and Nicobar Islands,,,,15410,Samples Sent,90,,281,,8,Institutional,,,,,,,,,,,https://dhs.andaman.gov.in/NewEvents/311.pdf,,,0.58%,38.82,38816,171,397000,
30/06/2020,Andaman and Nicobar Islands,,,,15709,Samples Sent,97,,306,,,,,,,,,,,,,,https://dhs.andaman.gov.in/NewEvents/312.pdf,,,0.62%,39.57,39569,162,397000,
01/07/2020,Andaman and Nicobar Islands,,,,15982,Samples Sent,100,,243,,,,,,,,,,,,,,https://dhs.andaman.gov.in/NewEvents/313.pdf,,,0.63%,40.26,40257,160,397000,
02/07/2020,Andaman and Nicobar Islands,,,,16278,Samples Sent,109,,254,,,,,,,,,,,,,,https://dhs.andaman.gov.in/NewEvents/317.pdf,,,0.67%,41.00,41003,149,397000,
03/07/2020,Andaman and Nicobar Islands,,,,16626,Samples Sent,116,,323,,,,,,,,,,,,,,https://dhs.andaman.gov.in/NewEvents/318.pdf,https://dhs.andaman.gov.in/,,0.70%,41.88,41879,143,397000,
04/07/2020,Andaman and Nicobar Islands,,,,16832,Samples Sent,119,,184,,28,Facility,8359,,,176,,,,,,,https://dhs.andaman.gov.in/NewEvents/319.pdf,https://dhs.andaman.gov.in/,,0.71%,42.40,42398,141,397000,
05/07/2020,Andaman and Nicobar Islands,,,,16909,Samples Sent,125,,77,,30,Facility,8676,,,176,,,,,,,https://dhs.andaman.gov.in/NewEvents/320.pdf,https://dhs.andaman.gov.in/,,0.74%,42.59,42592,135,397000,
06/07/2020,Andaman and Nicobar Islands,,,,17095,Samples Sent,141,,105,,30,Facility,8816,,,176,,,,,,,https://dhs.andaman.gov.in/NewEvents/321.pdf,https://dhs.andaman.gov.in/,,0.82%,43.06,43060,121,397000,
07/07/2020,Andaman and Nicobar Islands,,,,17381,Samples Sent,147,,199,,30,Facility,,,,,,,,,,,https://dhs.andaman.gov.in/NewEvents/322.pdf,https://dhs.andaman.gov.in/,,0.85%,43.78,43781,118,397000,
08/07/2020,Andaman and Nicobar Islands,,,,17643,Samples Sent,149,,208,,34,Facility,,,,,,,,,,,https://dhs.andaman.gov.in/NewEvents/323.pdf,https://dhs.andaman.gov.in/,,0.84%,44.44,44441,118,397000,
09/07/2020,Andaman and Nicobar Islands,,,,17852,Samples Sent,151,,190,,19,Facility,,,,,,,,,,,https://dhs.andaman.gov.in/NewEvents/324.pdf,https://dhs.andaman.gov.in/,,0.85%,44.97,44967,118,397000,
10/07/2020,Andaman and Nicobar Islands,,,,18046,Samples Sent,156,,145,,31,Facility,,,,176,,,,,,,https://dhs.andaman.gov.in/NewEvents/325.pdf,https://dhs.andaman.gov.in/,,0.86%,45.46,45456,116,397000,
11/07/2020,Andaman and Nicobar Islands,,,,18315,Samples Sent,163,,269,,31,Facility,,,,176,,,,,,,https://dhs.andaman.gov.in/NewEvents/326.pdf,https://dhs.andaman.gov.in/,,0.89%,46.13,46134,112,397000,
12/07/2020,Andaman and Nicobar Islands,,,,18447,Samples Sent,163,,132,,31,Facility,,,,176,,,,,,,https://dhs.andaman.gov.in/NewEvents/327.pdf,https://dhs.andaman.gov.in/,,0.88%,46.47,46466,113,397000,
13/07/2020,Andaman and Nicobar Islands,,,,18609,Samples Sent,166,,135,,31,Facility,,,,176,,,,,,,https://dhs.andaman.gov.in/NewEvents/328.pdf,https://dhs.andaman.gov.in/,,0.89%,46.87,46874,112,397000,
14/07/2020,Andaman and Nicobar Islands,,,,18884,Samples Sent,171,,224,,31,Facility,,,,176,,,,,,,https://dhs.andaman.gov.in/NewEvents/330.pdf,https://dhs.andaman.gov.in/,,0.91%,47.57,47567,110,397000,
15/07/2020,Andaman and Nicobar Islands,,,,19061,Samples Sent,176,,166,,31,Facility,,,,176,,,,,,,https://dhs.andaman.gov.in/NewEvents/331.pdf,https://dhs.andaman.gov.in/,,0.92%,48.01,48013,108,397000,
16/07/2020,Andaman and Nicobar Islands,,,,19227,Samples Sent,180,,115,,31,Facility,,,,176,,,,,,,https://dhs.andaman.gov.in/NewEvents/332.pdf,https://dhs.andaman.gov.in/,,0.94%,48.43,48431,107,397000,
17/07/2020,Andaman and Nicobar Islands,,,,19421,Samples Sent,194,,136,,,,,,,176,,,,,,,https://dhs.andaman.gov.in/NewEvents/333.pdf,https://dhs.andaman.gov.in/,,1.00%,48.92,48919,100,397000,
18/07/2020,Andaman and Nicobar Islands,,,,19671,Samples Sent,198,,197,,,,,,,176,,,,,,,https://dhs.andaman.gov.in/NewEvents/334.pdf,https://dhs.andaman.gov.in/,,1.01%,49.55,49549,99,397000,
19/07/2020,Andaman and Nicobar Islands,,,,19904,Samples Sent,203,,233,,,,,,,176,,,,,,,https://dhs.andaman.gov.in/NewEvents/335.pdf,https://dhs.andaman.gov.in/,,1.02%,50.14,50136,98,397000,
20/07/2020,Andaman and Nicobar Islands,,,,20301,Samples Sent,207,,330,,,,,,,176,,,,,,,https://dhs.andaman.gov.in/NewEvents/336.pdf,https://dhs.andaman.gov.in/,,1.02%,51.14,51136,98,397000,
21/07/2020,Andaman and Nicobar Islands,,,,20642,Samples Sent,212,,237,,,,,,,176,,,,,,,https://dhs.andaman.gov.in/NewEvents/337.pdf,https://dhs.andaman.gov.in/,,1.03%,51.99,51995,97,397000,
22/07/2020,Andaman and Nicobar Islands,,,,21043,Samples Sent,221,,336,,34,Facility,,,,176,,,,,,,https://dhs.andaman.gov.in/NewEvents/338.pdf,https://dhs.andaman.gov.in/,,1.05%,53.01,53005,95,397000,
23/07/2020,Andaman and Nicobar Islands,,,,21310,Samples Sent,240,,386,,36,Facility,,,,176,,,,,,,https://dhs.andaman.gov.in/NewEvents/339.pdf,https://dhs.andaman.gov.in/,,1.13%,53.68,53678,89,397000,
24/07/2020,Andaman and Nicobar Islands,,,,21743,Samples Sent,259,,571,,36,Facility,,,,176,,,,,,,https://dhs.andaman.gov.in/NewEvents/340.pdf,https://dhs.andaman.gov.in/,,1.19%,54.77,54768,84,397000,
25/07/2020,Andaman and Nicobar Islands,,,,21965,Samples Sent,290,,353,,37,Facility,,,,,,,,,,,https://dhs.andaman.gov.in/NewEvents/341.pdf,https://dhs.andaman.gov.in/,,1.32%,55.33,55327,76,397000,
26/07/2020,Andaman and Nicobar Islands,,,,22049,Samples Sent,324,,147,,37,Facility,,,,,,,,,,,https://dhs.andaman.gov.in/NewEvents/342.pdf,https://dhs.andaman.gov.in/,,1.47%,55.54,55539,68,397000,
27/07/2020,Andaman and Nicobar Islands,,,,22548,Samples Sent,338,,411,,37,Facility,,,,,,,,,,,https://dhs.andaman.gov.in/NewEvents/343.pdf,https://dhs.andaman.gov.in/,,1.50%,56.80,56796,67,397000,
28/07/2020,Andaman and Nicobar Islands,,,,22925,Samples Sent,363,,378,,37,Facility,,,,,,,,,,,https://dhs.andaman.gov.in/NewEvents/345.pdf,https://dhs.andaman.gov.in/,,,,,,,
29/07/2020,Andaman and Nicobar Islands,,,,23217,Samples Sent,428,,612,,40,Facility,,,,199,,,,,,,https://dhs.andaman.gov.in/NewEvents/346.pdf,https://dhs.andaman.gov.in/,,,,,,,
30/07/2020,Andaman and Nicobar Islands,,,,23615,Samples Sent,471,,707,,42,Facility,,,,199,,,,,,,https://dhs.andaman.gov.in/NewEvents/347.pdf,https://dhs.andaman.gov.in/,,,,,,,
31/07/2020,Andaman and Nicobar Islands,,,,24038,Samples Sent,548,,901,,49,Facility,,,,432,,,,,,,https://dhs.andaman.gov.in/NewEvents/348.pdf,https://dhs.andaman.gov.in/,,,,,,,
01/08/2020,Andaman and Nicobar Islands,,,,24308,Samples Sent,636,,930,,50,Facility,,,,466,,,,,,,https://dhs.andaman.gov.in/NewEvents/349.pdf,https://dhs.andaman.gov.in/,,,,,,,
02/08/2020,Andaman and Nicobar Islands,,,,24580,Samples Sent,734,,642,,54,Facility,,,,466,,,,,,,https://dhs.andaman.gov.in/NewEvents/350.pdf,https://dhs.andaman.gov.in/,,,,,,,
03/08/2020,Andaman and Nicobar Islands,,,,25034,Samples Sent,830,,721,,54,Facility,,,,486,,,,,,,https://dhs.andaman.gov.in/NewEvents/351.pdf,https://dhs.andaman.gov.in/,,,,,,,
04/08/2020,Andaman and Nicobar Islands,,,,25492,Samples Sent,928,,928,,54,Facility,,,,486,,,,,,,https://dhs.andaman.gov.in/NewEvents/352.pdf,https://dhs.andaman.gov.in/,,,,,,,
05/08/2020,Andaman and Nicobar Islands,,,,25826,Samples Sent,1027,,983,,55,Facility,,,,486,,,,,,,https://dhs.andaman.gov.in/NewEvents/353.pdf,https://dhs.andaman.gov.in/,,,,,,,
06/08/2020,Andaman and Nicobar Islands,,,,26516,Samples Sent,1123,,1376,,66,Facility,,,,486,,,,,,,https://dhs.andaman.gov.in/NewEvents/354.pdf,https://dhs.andaman.gov.in/,,,,,,,
07/08/2020,Andaman and Nicobar Islands,,,,26915,Samples Sent,1222,,1472,,66,Facility,,,,516,,,,,,,https://dhs.andaman.gov.in/NewEvents/355.pdf,https://dhs.andaman.gov.in/,,,,,,,
08/08/2020,Andaman and Nicobar Islands,,,,27073,Samples Sent,1351,,1208,,70,Facility,,,,516,,,,,,,https://dhs.andaman.gov.in/NewEvents/356.pdf,https://dhs.andaman.gov.in/,,,,,,,
09/08/2020,Andaman and Nicobar Islands,,,,27103,Samples Sent,1490,,912,,70,Facility,,,,516,,,,,,,https://dhs.andaman.gov.in/NewEvents/357.pdf,https://dhs.andaman.gov.in/,,,,,,,
10/08/2020,Andaman and Nicobar Islands,,,,27346,Samples Sent,1625,,744,,70,Facility,,,,516,,,,,,,https://dhs.andaman.gov.in/NewEvents/358.pdf,https://dhs.andaman.gov.in/,,,,,,,
11/08/2020,Andaman and Nicobar Islands,,,,27455,Samples Sent,1764,,324,,70,Facility,,,,516,,,,,,,https://dhs.andaman.gov.in/NewEvents/359.pdf,https://dhs.andaman.gov.in/,,,,,,,
12/08/2020,Andaman and Nicobar Islands,,,,27744,Samples Sent,1900,,144,,70,Facility,,,,516,,,,,,,https://dhs.andaman.gov.in/NewEvents/360.pdf,https://dhs.andaman.gov.in/,,,,,,,
13/08/2020,Andaman and Nicobar Islands,,,,27973,Samples Sent,2037,,188,,70,Facility,,,,516,,,,,,,https://dhs.andaman.gov.in/NewEvents/361.pdf,https://dhs.andaman.gov.in/,,,,,,,
14/08/2020,Andaman and Nicobar Islands,,,,28129,Samples Sent,2186,,156,,70,Facility,,,,516,,,,,,,https://dhs.andaman.gov.in/NewEvents/362.pdf,https://dhs.andaman.gov.in/,,,,,,,
15/08/2020,Andaman and Nicobar Islands,,,,28209,Samples Sent,2306,,80,,70,Facility,,,,516,,,,,,,https://dhs.andaman.gov.in/NewEvents/363.pdf,https://dhs.andaman.gov.in/,,,,,,,
16/08/2020,Andaman and Nicobar Islands,,,,28229,Samples Sent,2399,,100,,70,Facility,,,,516,,,,,,,https://dhs.andaman.gov.in/NewEvents/364.pdf,https://dhs.andaman.gov.in/,,,,,,,
17/08/2020,Andaman and Nicobar Islands,,,,28672,Samples Sent,2445,,268,,70,Facility,,,,516,,,,,,,https://dhs.andaman.gov.in/NewEvents/365.pdf,https://dhs.andaman.gov.in/,,,,,,,
18/08/2020,Andaman and Nicobar Islands,,,,28937,Samples Sent,2529,,281,,70,Facility,,,,516,,,,,,,https://dhs.andaman.gov.in/NewEvents/366.pdf,https://dhs.andaman.gov.in/,,,,,,,
19/08/2020,Andaman and Nicobar Islands,,,,29303,Samples Sent,2604,,330,,70,Facility,,,,516,,,,,,,https://dhs.andaman.gov.in/NewEvents/367.pdf,https://dhs.andaman.gov.in/,,,,,,,
20/08/2020,Andaman and Nicobar Islands,,,,29487,Samples Sent,2680,,404,,70,Facility,,,,516,,,,,,,https://dhs.andaman.gov.in/NewEvents/368.pdf,https://dhs.andaman.gov.in/,,,,,,,
21/08/2020,Andaman and Nicobar Islands,,,,29573,Samples Sent,2747,,161,,70,Facility,,,,1039,,,,,,,https://dhs.andaman.gov.in/NewEvents/369.pdf,https://dhs.andaman.gov.in/,,,,,,,
22/08/2020,Andaman and Nicobar Islands,,,,29888,Samples Sent,2808,,315,,72,Facility,,,,1039,,,,,,,https://dhs.andaman.gov.in/NewEvents/370.pdf,https://dhs.andaman.gov.in/,,,,,,,
23/08/2020,Andaman and Nicobar Islands,,,,30278,Samples Sent,2860,,290,,78,Facility,,,,1039,,,,,,,https://dhs.andaman.gov.in/NewEvents/371.pdf,https://dhs.andaman.gov.in/,,,,,,,
24/08/2020,Andaman and Nicobar Islands,,,,30513,Samples Sent,2904,,261,,78,Facility,,,,1039,,,,,,,https://dhs.andaman.gov.in/NewEvents/372.pdf,https://dhs.andaman.gov.in/,,,,,,,
25/08/2020,Andaman and Nicobar Islands,,,,31082,Samples Sent,2945,,389,,78,Facility,,,,1039,,,,,,,https://dhs.andaman.gov.in/NewEvents/373.pdf,https://dhs.andaman.gov.in/,,,,,,,
26/08/2020,Andaman and Nicobar Islands,,,,31646,Samples Sent,2985,,312,,78,Facility,,,,1039,,,,,,,https://dhs.andaman.gov.in/NewEvents/374.pdf,https://dhs.andaman.gov.in/,,,,,,,
27/08/2020,Andaman and Nicobar Islands,,,,31830,Samples Sent,3018,,270,,78,Facility,,,,1039,,,,,,,https://dhs.andaman.gov.in/NewEvents/375.pdf,https://dhs.andaman.gov.in/,,,,,,,
28/08/2020,Andaman and Nicobar Islands,,,,32100,Samples Sent,3050,,285,,78,Facility,,,,1039,,,,,,,https://dhs.andaman.gov.in/NewEvents/376.pdf,https://dhs.andaman.gov.in/,,,,,,,
29/08/2020,Andaman and Nicobar Islands,,,,32407,Samples Sent,3081,,301,,78,Facility,,,,1039,,,,,,,https://dhs.andaman.gov.in/NewEvents/377.pdf,https://dhs.andaman.gov.in/,,,,,,,
30/08/2020,Andaman and Nicobar Islands,,,,32674,Samples Sent,3104,,204,,89,Facility,,,,1039,,,,,,,https://dhs.andaman.gov.in/NewEvents/378.pdf,https://dhs.andaman.gov.in/,,,,,,,
31/08/2020,Andaman and Nicobar Islands,,,,33485,Samples Sent,3132,,275,,89,Facility,,,,1039,,,,,,,https://dhs.andaman.gov.in/NewEvents/379.pdf,https://dhs.andaman.gov.in/,,,,,,,
01/09/2020,Andaman and Nicobar Islands,,,,35104,Samples Sent,3160,,246,,91,Facility,,,,1039,,,,,,,https://dhs.andaman.gov.in/NewEvents/380.pdf,https://dhs.andaman.gov.in/,,,,,,,
02/09/2020,Andaman and Nicobar Islands,,,,36136,Samples Sent,,,260,,91,Facility,,,,1039,,,,,,,https://dhs.andaman.gov.in/NewEvents/381.pdf,https://dhs.andaman.gov.in/,,,,,,,
03/09/2020,Andaman and Nicobar Islands,,,,37075,Samples Sent,3223,,264,,91,Facility,,,,1039,,,,,,,https://dhs.andaman.gov.in/NewEvents/382.pdf,https://dhs.andaman.gov.in/,,,,,,,
04/09/2020,Andaman and Nicobar Islands,,,,37825,Samples Sent,3257,,175,,91,Facility,,,,1039,,,,,,,https://dhs.andaman.gov.in/NewEvents/383.pdf,https://dhs.andaman.gov.in/,,,,,,,
05/09/2020,Andaman and Nicobar Islands,,,,38574,Samples Sent,3292,,189,,93,Facility,,,,1039,,,,,,,https://dhs.andaman.gov.in/NewEvents/384.pdf,https://dhs.andaman.gov.in/,,,,,,,
06/09/2020,Andaman and Nicobar Islands,,,,39205,Samples Sent,3332,,120,,94,Facility,,,,1039,,,,,,,https://dhs.andaman.gov.in/NewEvents/385.pdf,https://dhs.andaman.gov.in/,,,,,,,
07/09/2020,Andaman and Nicobar Islands,,,,39995,Samples Sent,3359,,287,,,Facility,,,,1039,,,,,,,https://dhs.andaman.gov.in/NewEvents/386.pdf,https://dhs.andaman.gov.in/,,,,,,,
08/09/2020,Andaman and Nicobar Islands,,,,41039,Samples Sent,3392,,261,,,Facility,,,,1039,,,,,,,https://dhs.andaman.gov.in/NewEvents/387.pdf,https://dhs.andaman.gov.in/,,,,,,,
09/09/2020,Andaman and Nicobar Islands,,,,41776,Samples Sent,3426,,238,,,Facility,,,,1039,,,,,,,https://dhs.andaman.gov.in/NewEvents/388.pdf,https://dhs.andaman.gov.in/,,,,,,,
10/09/2020,Andaman and Nicobar Islands,,,,42792,Samples Sent,3465,,207,,,Facility,,,,1039,,,,,,,https://dhs.andaman.gov.in/NewEvents/391.pdf,https://dhs.andaman.gov.in/,,,,,,,
11/09/2020,Andaman and Nicobar Islands,,,,43680,Samples Sent,3494,,197,,,Facility,,,,1039,,,,,,,https://dhs.andaman.gov.in/NewEvents/392.pdf,https://dhs.andaman.gov.in/,,,,,,,
12/09/2020,Andaman and Nicobar Islands,,,,,Samples Sent,,,,,,Facility,,,,1039,,,,,,,,https://dhs.andaman.gov.in/,,,,,,,
02/04/2020,Andhra Pradesh,,,,1800,Tested,132,1175,493,,,,,,,23479,2680,330,,,,,https://twitter.com/ArogyaAndhra/status/1245580598938198016?s=20,,,7.33%,0.03,34,14,52221000,
10/04/2020,Andhra Pradesh,,,,6374,Tested,365,6009,,,,,,,,,,,,,,,http://hmfw.ap.gov.in/covid_dashboard.aspx,,,5.73%,0.12,122,17,52221000,
11/04/2020,Andhra Pradesh,,,,6958,Tested,381,6577,,,,,,,,,,,,,,,http://hmfw.ap.gov.in/covid_dashboard.aspx,,,5.48%,0.13,133,18,52221000,
